,name,description,id,href,tracks,collaborative,external_urls,images,owner,primary_color,public,snapshot_id,type,uri
0,Music for a Workday,A playlist to get you through your whole workday.,37i9dQZF1DXcsT4WKI8W8r,https://api.spotify.com/v1/playlists/37i9dQZF1DXcsT4WKI8W8r,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DXcsT4WKI8W8r/tracks', 'total': 145}",False,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DXcsT4WKI8W8r'},"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f000000034de77acbe943df267598e50c', 'width': None}]","{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTYyODUxODE3NCwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,playlist,spotify:playlist:37i9dQZF1DXcsT4WKI8W8r
1,All Out 70s,"The biggest songs of the 1970s. Cover: The O'Jays.
",37i9dQZF1DWTJ7xPn4vNaz,https://api.spotify.com/v1/playlists/37i9dQZF1DWTJ7xPn4vNaz,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DWTJ7xPn4vNaz/tracks', 'total': 150}",False,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DWTJ7xPn4vNaz'},"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000003fe7af7e3213324659ede1d76', 'width': None}]","{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTYyODUxODE5MCwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,playlist,spotify:playlist:37i9dQZF1DWTJ7xPn4vNaz
2,RapCaviar,"New music from Jack Harlow, Lil Tecca and YNW Melly.",37i9dQZF1DX0XUsuxWHRQd,https://api.spotify.com/v1/playlists/37i9dQZF1DX0XUsuxWHRQd,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX0XUsuxWHRQd/tracks', 'total': 50}",False,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX0XUsuxWHRQd'},"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f0000000314964434673edb3112b16a10', 'width': None}]","{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTYyODI2OTIwNSwwMDAwMDViNTAwMDAwMTdiMWM2ODU2ZDIwMDAwMDE3YjFjNjgwMzQ4,playlist,spotify:playlist:37i9dQZF1DX0XUsuxWHRQd
3,Intense Studying,Focus-enhancing piano for your study session.,37i9dQZF1DX8NTLI2TtZa6,https://api.spotify.com/v1/playlists/37i9dQZF1DX8NTLI2TtZa6,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX8NTLI2TtZa6/tracks', 'total': 216}",False,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX8NTLI2TtZa6'},"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f0000000318e20d8d2bc7aa007d305e57', 'width': None}]","{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTYyODA4MDA0MSwwMDAwMDA5YjAwMDAwMTdiMTEyMWVlMDgwMDAwMDE2ZDE1NDYxNzE3,playlist,spotify:playlist:37i9dQZF1DX8NTLI2TtZa6
4,Get Turnt,Mode: Turnt,37i9dQZF1DWY4xHQp97fN6,https://api.spotify.com/v1/playlists/37i9dQZF1DWY4xHQp97fN6,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DWY4xHQp97fN6/tracks', 'total': 100}",False,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DWY4xHQp97fN6'},"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000003d34edad726402d5f6c93bfac', 'width': None}]","{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTYyODIyMjQwMCwwMDAwMDRiNDAwMDAwMTdiMTk5ZTI2YTcwMDAwMDE3YTU2NmZjNTlm,playlist,spotify:playlist:37i9dQZF1DWY4xHQp97fN6
5,Chill Hits,Kick back to the best new and recent chill tunes.,37i9dQZF1DX4WYpdgoIcn6,https://api.spotify.com/v1/playlists/37i9dQZF1DX4WYpdgoIcn6,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX4WYpdgoIcn6/tracks', 'total': 130}",False,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX4WYpdgoIcn6'},"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000003cf8e264c6a92e245402ecb7a', 'width': None}]","{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTYyODUxODE3OSwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,playlist,spotify:playlist:37i9dQZF1DX4WYpdgoIcn6
6,Soul 'n' the City,Your daily dose of soul-infused music! Cover: Prince,37i9dQZF1DWSXWSaQmvWOB,https://api.spotify.com/v1/playlists/37i9dQZF1DWSXWSaQmvWOB,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DWSXWSaQmvWOB/tracks', 'total': 138}",False,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DWSXWSaQmvWOB'},"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000003f49c32593c652d4a6df9967c', 'width': None}]","{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTYyODIwMDgwMCwwMDAwMDBmYjAwMDAwMTdiMTg1NDhmYzQwMDAwMDE3YWYxN2RmMzc5,playlist,spotify:playlist:37i9dQZF1DWSXWSaQmvWOB
7,90s Rock Anthems,These songs rocked the 90s. Cover: Nirvana,37i9dQZF1DX1rVvRgjX59F,https://api.spotify.com/v1/playlists/37i9dQZF1DX1rVvRgjX59F,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX1rVvRgjX59F/tracks', 'total': 150}",False,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX1rVvRgjX59F'},"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000003b6e605ef428ddef4b7ce24aa', 'width': None}]","{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTYwNDU3NjM4MiwwMDAwMDAxZTAwMDAwMTc1OTgzNDhmYjgwMDAwMDE3MGM0OTc1ZmRh,playlist,spotify:playlist:37i9dQZF1DX1rVvRgjX59F
8,Afternoon Acoustic,Unwind and let the afternoon unfold.,37i9dQZF1DX4E3UdUs7fUx,https://api.spotify.com/v1/playlists/37i9dQZF1DX4E3UdUs7fUx,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX4E3UdUs7fUx/tracks', 'total': 100}",False,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX4E3UdUs7fUx'},"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f000000031cb21db1932b5c9139bbf136', 'width': None}]","{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTYyODUxODE3OCwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,playlist,spotify:playlist:37i9dQZF1DX4E3UdUs7fUx
9,Jazz Rap,Laid back cratedigger hip-hop from around the world.,37i9dQZF1DX8Kgdykz6OKj,https://api.spotify.com/v1/playlists/37i9dQZF1DX8Kgdykz6OKj,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX8Kgdykz6OKj/tracks', 'total': 100}",False,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX8Kgdykz6OKj'},"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f000000035115b9702d26cd841fda7827', 'width': None}]","{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTYyODUxODE1NCwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,playlist,spotify:playlist:37i9dQZF1DX8Kgdykz6OKj
