,name,description,id,href,tracks,collaborative,external_urls,images,owner,primary_color,public,snapshot_id,type,uri
0,Rain Sounds,Steady rain without any thunder.,37i9dQZF1DX8ymr6UES7vc,https://api.spotify.com/v1/playlists/37i9dQZF1DX8ymr6UES7vc,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX8ymr6UES7vc/tracks', 'total': 182}",False,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX8ymr6UES7vc'},"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000003aba1f07094bd3e98cd0122de', 'width': None}]","{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTYyNTY1MjA4MiwwMDAwMDA0MjAwMDAwMTdhODA2YTM3MjgwMDAwMDE3M2I4ZGU5Yjgx,playlist,spotify:playlist:37i9dQZF1DX8ymr6UES7vc
1,Bedroom Jams,Slow jams for the passionate.,37i9dQZF1DX0QKpU3cGsyb,https://api.spotify.com/v1/playlists/37i9dQZF1DX0QKpU3cGsyb,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX0QKpU3cGsyb/tracks', 'total': 75}",False,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX0QKpU3cGsyb'},"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f000000039fec2373847cde79dcdba5b5', 'width': None}]","{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTYyNzYxNzYwMCwwMDAwMDQ3NDAwMDAwMTdhZjU5MWEyY2IwMDAwMDE2ZDE1NTk4OWUy,playlist,spotify:playlist:37i9dQZF1DX0QKpU3cGsyb
2,Dark & Stormy,"Beautifully dark, dramatic tracks.",37i9dQZF1DX2pSTOxoPbx9,https://api.spotify.com/v1/playlists/37i9dQZF1DX2pSTOxoPbx9,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX2pSTOxoPbx9/tracks', 'total': 50}",False,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX2pSTOxoPbx9'},"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000003a6e2870c97bde5e2719c20b8', 'width': None}]","{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTYyODIxNTcwOSwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,playlist,spotify:playlist:37i9dQZF1DX2pSTOxoPbx9
3,90s Love Songs,"Tight Roll your jeans, break out the CK1, and set the mood...",37i9dQZF1DWXqpDKK4ed9O,https://api.spotify.com/v1/playlists/37i9dQZF1DWXqpDKK4ed9O,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DWXqpDKK4ed9O/tracks', 'total': 50}",False,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DWXqpDKK4ed9O'},"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000003c030f31ac8d5084607e193af', 'width': None}]","{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTYyODIxNTcwOSwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,playlist,spotify:playlist:37i9dQZF1DWXqpDKK4ed9O
4,Sleep,Gentle ambient piano to help you fall asleep.,37i9dQZF1DWZd79rJ6a7lp,https://api.spotify.com/v1/playlists/37i9dQZF1DWZd79rJ6a7lp,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DWZd79rJ6a7lp/tracks', 'total': 160}",False,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DWZd79rJ6a7lp'},"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000003b70e0223f544b1faa2e95ed0', 'width': None}]","{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTYyNTU2NTY5MSwwMDAwMDBkMDAwMDAwMTdhN2I0M2ZkMDEwMDAwMDE2Y2Y2OTUyYjAw,playlist,spotify:playlist:37i9dQZF1DWZd79rJ6a7lp
5,Heart Beats,"<a href=""spotify:genre:edm_dance"">Dance music</a> for the heart <3",37i9dQZF1DWSRc3WJklgBs,https://api.spotify.com/v1/playlists/37i9dQZF1DWSRc3WJklgBs,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DWSRc3WJklgBs/tracks', 'total': 230}",False,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DWSRc3WJklgBs'},"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000003314724fc7ca36a4fce2f1b6a', 'width': None}]","{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTYyODIxNTY5OCwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,playlist,spotify:playlist:37i9dQZF1DWSRc3WJklgBs
6,Peaceful Piano,Relax and indulge with beautiful piano pieces,37i9dQZF1DX4sWSpwq3LiO,https://api.spotify.com/v1/playlists/37i9dQZF1DX4sWSpwq3LiO,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX4sWSpwq3LiO/tracks', 'total': 357}",False,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX4sWSpwq3LiO'},"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000003ca5a7517156021292e5663a6', 'width': None}]","{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTYyODA2NDAyNSwwMDAwMDBmZDAwMDAwMTdiMTAyZDhjMTAwMDAwMDE2ZDE1NTk1OTFk,playlist,spotify:playlist:37i9dQZF1DX4sWSpwq3LiO
7,Deep Sleep,"Soothing, minimalist ambient for deep sleep.",37i9dQZF1DWYcDQ1hSjOpY,https://api.spotify.com/v1/playlists/37i9dQZF1DWYcDQ1hSjOpY,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DWYcDQ1hSjOpY/tracks', 'total': 214}",False,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DWYcDQ1hSjOpY'},"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000003c601a6a746366286845b8fda', 'width': None}]","{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTYyNTU3MjM0MSwwMDAwMDA1ZDAwMDAwMTdhN2JhOTc1MjgwMDAwMDE2ZDE1MjI3Zjk3,playlist,spotify:playlist:37i9dQZF1DWYcDQ1hSjOpY
8,Bedroom Pop,Dreamy jams from the best bedroom producers. Cover: Verzache,37i9dQZF1DXcxvFzl58uP7,https://api.spotify.com/v1/playlists/37i9dQZF1DXcxvFzl58uP7,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DXcxvFzl58uP7/tracks', 'total': 115}",False,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DXcxvFzl58uP7'},"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000003f336332699dd46ae4396e15f', 'width': None}]","{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTYyODIxNTcxMSwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,playlist,spotify:playlist:37i9dQZF1DXcxvFzl58uP7
9,Jazz Rap,Laid back cratedigger hip-hop from around the world.,37i9dQZF1DX8Kgdykz6OKj,https://api.spotify.com/v1/playlists/37i9dQZF1DX8Kgdykz6OKj,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX8Kgdykz6OKj/tracks', 'total': 100}",False,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX8Kgdykz6OKj'},"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f000000035115b9702d26cd841fda7827', 'width': None}]","{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTYyODIxNTc1NSwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,playlist,spotify:playlist:37i9dQZF1DX8Kgdykz6OKj
