,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist_followers,artist_genres,artist_popularity
0,0.712,0.782,3,-9.0,0,0.0532,0.00494,0.637,0.0911,0.352,125.016,audio_features,7oW4jaJ9aPmh1ZtuTH7A3d,spotify:track:7oW4jaJ9aPmh1ZtuTH7A3d,https://api.spotify.com/v1/tracks/7oW4jaJ9aPmh1ZtuTH7A3d,https://api.spotify.com/v1/audio-analysis/7oW4jaJ9aPmh1ZtuTH7A3d,387989,4,31452,"['float house', 'microhouse']",41
0,0.665,0.837,6,-7.057,1,0.0496,0.001,0.359,0.374,0.644,122.985,audio_features,3VR6nMXzaCoYdfP41Rk8PL,spotify:track:3VR6nMXzaCoYdfP41Rk8PL,https://api.spotify.com/v1/tracks/3VR6nMXzaCoYdfP41Rk8PL,https://api.spotify.com/v1/audio-analysis/3VR6nMXzaCoYdfP41Rk8PL,144390,4,592,[],32
0,0.487,0.808,11,-4.832,0,0.143,0.00205,0.0589,0.056,0.424,120.143,audio_features,6Orwi1oYLckpnBF7NbCbrg,spotify:track:6Orwi1oYLckpnBF7NbCbrg,https://api.spotify.com/v1/tracks/6Orwi1oYLckpnBF7NbCbrg,https://api.spotify.com/v1/audio-analysis/6Orwi1oYLckpnBF7NbCbrg,244035,4,49223,[],71
0,0.752,0.795,7,-6.254,0,0.0342,0.0606,0.00191,0.204,0.25,117.021,audio_features,5Uis5wFbI6XCBpn6UZIMTH,spotify:track:5Uis5wFbI6XCBpn6UZIMTH,https://api.spotify.com/v1/tracks/5Uis5wFbI6XCBpn6UZIMTH,https://api.spotify.com/v1/audio-analysis/5Uis5wFbI6XCBpn6UZIMTH,223267,4,139371,"['aussietronica', 'australian dance', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house']",60
0,0.616,0.504,0,-6.882,1,0.091,0.0345,0.000764,0.0667,0.4,155.964,audio_features,4MntS4sILmujgVJgWJoRbv,spotify:track:4MntS4sILmujgVJgWJoRbv,https://api.spotify.com/v1/tracks/4MntS4sILmujgVJgWJoRbv,https://api.spotify.com/v1/audio-analysis/4MntS4sILmujgVJgWJoRbv,313846,5,2246102,"['pop', 'r&b', 'uk contemporary r&b']",79
0,0.661,0.912,7,-7.146,0,0.0343,0.112,0.0223,0.0857,0.887,118.99,audio_features,30lfF9ncaPUsZ5eWvE7m0i,spotify:track:30lfF9ncaPUsZ5eWvE7m0i,https://api.spotify.com/v1/tracks/30lfF9ncaPUsZ5eWvE7m0i,https://api.spotify.com/v1/audio-analysis/30lfF9ncaPUsZ5eWvE7m0i,226400,4,382983,"['alternative dance', 'aussietronica', 'australian dance', 'australian indie', 'indie soul', 'nu disco']",65
0,0.755,0.749,2,-9.395,0,0.0895,0.21,0.711,0.117,0.653,124.99,audio_features,2w8jk4NAkqURAJ7WvTI98W,spotify:track:2w8jk4NAkqURAJ7WvTI98W,https://api.spotify.com/v1/tracks/2w8jk4NAkqURAJ7WvTI98W,https://api.spotify.com/v1/audio-analysis/2w8jk4NAkqURAJ7WvTI98W,238714,4,25737,"['filter house', 'indie soul', 'nu disco']",47
0,0.733,0.72,7,-5.537,1,0.042,0.000242,0.855,0.0627,0.767,125.02,audio_features,4VHWqX5JH8GEtQ4ZGyZStN,spotify:track:4VHWqX5JH8GEtQ4ZGyZStN,https://api.spotify.com/v1/tracks/4VHWqX5JH8GEtQ4ZGyZStN,https://api.spotify.com/v1/audio-analysis/4VHWqX5JH8GEtQ4ZGyZStN,180982,4,101101,"['basshall', 'moombahton']",61
0,0.596,0.85,4,-3.696,1,0.0366,0.00498,0.0,0.184,0.319,137.95,audio_features,6Q72a8Q03iDpiCCUDKh691,spotify:track:6Q72a8Q03iDpiCCUDKh691,https://api.spotify.com/v1/tracks/6Q72a8Q03iDpiCCUDKh691,https://api.spotify.com/v1/audio-analysis/6Q72a8Q03iDpiCCUDKh691,230500,4,721354,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']",77
0,0.638,0.868,8,-2.509,0,0.144,0.109,0.0,0.109,0.803,148.105,audio_features,7f3oSqQXBCUiWtR0m7ieRw,spotify:track:7f3oSqQXBCUiWtR0m7ieRw,https://api.spotify.com/v1/tracks/7f3oSqQXBCUiWtR0m7ieRw,https://api.spotify.com/v1/audio-analysis/7f3oSqQXBCUiWtR0m7ieRw,197720,4,319008,"['dance pop', 'edm', 'house', 'pop', 'pop dance', 'pop house', 'tropical house', 'uk dance', 'uk pop']",81
0,0.743,0.389,8,-9.121,1,0.128,0.608,1.65e-06,0.272,0.706,98.006,audio_features,5VvUxoP2bKyps8sroie6T1,spotify:track:5VvUxoP2bKyps8sroie6T1,https://api.spotify.com/v1/tracks/5VvUxoP2bKyps8sroie6T1,https://api.spotify.com/v1/audio-analysis/5VvUxoP2bKyps8sroie6T1,129947,4,21265,"['electra', 'pop dance']",67
0,0.727,0.725,10,-4.725,0,0.0382,0.0911,0.00117,0.163,0.825,130.016,audio_features,5xzXgcaSUyrFU2bfK9wX45,spotify:track:5xzXgcaSUyrFU2bfK9wX45,https://api.spotify.com/v1/tracks/5xzXgcaSUyrFU2bfK9wX45,https://api.spotify.com/v1/audio-analysis/5xzXgcaSUyrFU2bfK9wX45,194793,4,1285988,"['dance pop', 'edm', 'house', 'pop', 'pop dance', 'tropical house', 'uk dance', 'uk funky']",76
0,0.594,0.87,11,-5.935,0,0.0619,0.000331,0.0018,0.252,0.553,124.969,audio_features,2qfKlNXwBtGGzUuJBGZYVF,spotify:track:2qfKlNXwBtGGzUuJBGZYVF,https://api.spotify.com/v1/tracks/2qfKlNXwBtGGzUuJBGZYVF,https://api.spotify.com/v1/audio-analysis/2qfKlNXwBtGGzUuJBGZYVF,143077,4,23945,"['deep groove house', 'disco house', 'edm', 'house', 'pop dance', 'uk dance']",54
