,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist_followers,artist_genres,artist_popularity
0,0.675,0.787,11,-2.468,0,0.334,0.0693,0.0,0.0494,0.647,140.959,audio_features,3V0PgcsUMlAGXwCD0084pY,spotify:track:3V0PgcsUMlAGXwCD0084pY,https://api.spotify.com/v1/tracks/3V0PgcsUMlAGXwCD0084pY,https://api.spotify.com/v1/audio-analysis/3V0PgcsUMlAGXwCD0084pY,124067,4,2378720,"['art pop', 'candy pop', 'dance pop', 'electropop', 'escape room', 'hyperpop', 'metropopolis', 'pop', 'post-teen pop', 'uk pop']",78
0,0.519,0.366,8,-14.319,1,0.0497,0.598,0.0,0.117,0.372,79.789,audio_features,4stpCVWJYxJ4HkUDmkyPNF,spotify:track:4stpCVWJYxJ4HkUDmkyPNF,https://api.spotify.com/v1/tracks/4stpCVWJYxJ4HkUDmkyPNF,https://api.spotify.com/v1/audio-analysis/4stpCVWJYxJ4HkUDmkyPNF,191748,4,2775,[],44
0,0.379,0.685,11,-6.433,0,0.0353,0.0134,0.00778,0.294,0.112,105.584,audio_features,3nLrrqiK2mDKpazMEQhGHC,spotify:track:3nLrrqiK2mDKpazMEQhGHC,https://api.spotify.com/v1/tracks/3nLrrqiK2mDKpazMEQhGHC,https://api.spotify.com/v1/audio-analysis/3nLrrqiK2mDKpazMEQhGHC,203333,4,33524,"['russian alt pop', 'russian emo', 'russian indie', 'russian indie rock']",45
0,0.638,0.471,4,-8.565,1,0.0651,0.181,3.66e-05,0.0619,0.24,129.973,audio_features,6YzfsSLXsMefRCno6FJTd7,spotify:track:6YzfsSLXsMefRCno6FJTd7,https://api.spotify.com/v1/tracks/6YzfsSLXsMefRCno6FJTd7,https://api.spotify.com/v1/audio-analysis/6YzfsSLXsMefRCno6FJTd7,206769,4,2507,[],20
0,0.398,0.707,6,-7.747,1,0.0409,0.0813,0.0356,0.165,0.074,74.915,audio_features,1q1Qr395Oi5gGpvFZ0Mxn3,spotify:track:1q1Qr395Oi5gGpvFZ0Mxn3,https://api.spotify.com/v1/tracks/1q1Qr395Oi5gGpvFZ0Mxn3,https://api.spotify.com/v1/audio-analysis/1q1Qr395Oi5gGpvFZ0Mxn3,228587,4,1521,[],26
0,0.656,0.639,10,-12.546,0,0.0331,0.256,0.483,0.0763,0.626,100.995,audio_features,2pRilzRQGc3pAIlpZWYgZG,spotify:track:2pRilzRQGc3pAIlpZWYgZG,https://api.spotify.com/v1/tracks/2pRilzRQGc3pAIlpZWYgZG,https://api.spotify.com/v1/audio-analysis/2pRilzRQGc3pAIlpZWYgZG,313838,5,782,"['indonesian electronic', 'indonesian experimental']",17
0,0.797,0.376,7,-13.752,1,0.111,0.598,0.646,0.106,0.675,158.792,audio_features,7lWVGjAIuksAjXKxmC5M71,spotify:track:7lWVGjAIuksAjXKxmC5M71,https://api.spotify.com/v1/tracks/7lWVGjAIuksAjXKxmC5M71,https://api.spotify.com/v1/audio-analysis/7lWVGjAIuksAjXKxmC5M71,136547,4,388368,"['art pop', 'big beat', 'electronica', 'nu jazz', 'trip hop']",58
0,0.37,0.599,6,-5.5,1,0.0387,0.0911,2.37e-06,0.237,0.488,176.785,audio_features,4GPYu9OYnnYTCrp48EWroq,spotify:track:4GPYu9OYnnYTCrp48EWroq,https://api.spotify.com/v1/tracks/4GPYu9OYnnYTCrp48EWroq,https://api.spotify.com/v1/audio-analysis/4GPYu9OYnnYTCrp48EWroq,165424,4,2392,"['glitchcore', 'hyperpop']",28
0,0.798,0.873,10,-6.732,0,0.0908,0.064,5.17e-05,0.764,0.846,98.017,audio_features,5An8NQkXTYa5gz8BIWeWk5,spotify:track:5An8NQkXTYa5gz8BIWeWk5,https://api.spotify.com/v1/tracks/5An8NQkXTYa5gz8BIWeWk5,https://api.spotify.com/v1/audio-analysis/5An8NQkXTYa5gz8BIWeWk5,227402,4,202293,"['ai', 'art pop', 'dance pop', 'deconstructed club', 'electropop', 'escape room', 'experimental pop', 'fluxwork']",56
0,0.947,0.671,11,-8.916,0,0.243,0.0404,0.000966,0.0639,0.532,126.045,audio_features,4JncjhRUDvh84eO25bopKp,spotify:track:4JncjhRUDvh84eO25bopKp,https://api.spotify.com/v1/tracks/4JncjhRUDvh84eO25bopKp,https://api.spotify.com/v1/audio-analysis/4JncjhRUDvh84eO25bopKp,169867,4,28990,"['electropop', 'escape room', 'hyperpop', 'pop']",51
